"year","financial","satisfaction_life"
1997,7,5
1997,10,3
1997,7,7
1997,1,5
1997,1,8
1997,10,7
1997,4,8
1997,5,6
1997,8,7
1997,5,5
1997,5,7
1997,5,1
1997,7,7
1997,10,9
1997,6,8
1997,6,4
1997,6,4
1997,7,8
1997,10,8
1997,5,8
1997,10,5
1997,8,8
1997,5,8
1997,7,8
1997,6,9
1997,-1,4
1997,8,8
1997,8,8
1997,1,1
1997,9,9
1997,6,9
1997,9,9
1997,10,7
1997,8,8
1997,10,10
1997,6,6
1997,1,6
1997,1,3
1997,10,10
1997,7,7
1997,4,8
1997,9,9
1997,9,3
1997,3,7
1997,7,8
1997,8,6
1997,6,9
1997,7,9
1997,8,8
1997,8,9
1997,6,6
1997,6,5
1997,7,6
1997,4,3
1997,5,8
1997,7,8
1997,1,3
1997,8,8
1997,7,8
1997,9,8
1997,7,8
1997,10,10
1997,5,5
1997,7,8
1997,9,10
1997,5,7
1997,10,10
1997,5,5
1997,1,6
1997,10,10
1997,1,5
1997,10,10
1997,8,8
1997,8,8
1997,9,9
1997,7,7
1997,7,5
1997,5,5
1997,10,10
1997,10,8
1997,5,5
1997,3,10
1997,10,8
1997,10,8
1997,7,8
1997,7,6
1997,7,8
1997,4,3
1997,10,9
1997,10,9
1997,3,9
1997,8,7
1997,5,8
1997,10,6
1997,6,6
1997,8,10
1997,8,9
1997,5,2
1997,7,10
1997,10,10
1997,6,8
1997,5,5
1997,4,9
1997,10,6
1997,5,2
1997,7,8
1997,6,6
1997,8,8
1997,3,9
1997,7,9
1997,7,7
1997,9,8
1997,1,5
1997,7,7
1997,9,9
1997,5,7
1997,6,6
1997,1,3
1997,10,10
1997,10,10
1997,6,8
1997,8,8
1997,5,7
1997,7,6
1997,8,6
1997,6,8
1997,10,7
1997,4,7
1997,1,7
1997,8,6
1997,5,8
1997,7,7
1997,8,8
1997,6,7
1997,10,8
1997,7,8
1997,8,8
1997,9,9
1997,3,9
1997,9,9
1997,8,5
1997,8,8
1997,8,8
1997,10,10
1997,4,6
1997,10,10
1997,8,8
1997,9,10
1997,5,5
1997,5,3
1997,6,6
1997,5,8
1997,6,7
1997,8,10
1997,10,7
1997,8,9
1997,8,8
1997,5,8
1997,6,10
1997,5,5
1997,5,6
1997,6,8
1997,8,8
1997,5,8
1997,8,7
1997,4,6
1997,8,9
1997,5,5
1997,9,8
1997,7,7
1997,10,9
1997,10,7
1997,5,8
1997,6,6
1997,9,10
1997,7,8
1997,8,9
1997,10,10
1997,-1,7
1997,8,7
1997,9,9
1997,10,10
1997,10,5
1997,8,6
1997,7,10
1997,8,9
1997,8,10
1997,8,9
1997,6,4
1997,4,5
1997,9,8
1997,10,10
1997,1,1
1997,4,8
1997,6,7
1997,10,8
1997,9,10
1997,4,4
1997,10,8
1997,6,7
1997,8,8
1997,7,8
1997,10,10
1997,6,8
1997,5,5
1997,7,10
1997,8,8
1997,7,6
1997,8,8
1997,7,8
1997,3,1
1997,3,3
1997,4,8
1997,6,8
1997,6,6
1997,6,6
1997,5,7
1997,5,8
1997,10,8
1997,8,8
1997,6,6
1997,8,9
1997,9,8
1997,8,9
1997,6,7
1997,4,4
1997,7,7
1997,2,7
1997,7,8
1997,10,8
1997,10,9
1997,7,9
1997,6,9
1997,4,5
1997,6,7
1997,5,3
1997,8,8
1997,10,10
1997,4,9
1997,1,3
1997,6,7
1997,9,8
1997,8,9
1997,6,8
1997,4,9
1997,1,8
1997,6,8
1997,5,5
1997,10,9
1997,9,10
1997,8,6
1997,10,8
1997,10,8
1997,4,5
1997,6,6
1997,8,7
1997,6,8
1997,4,4
1997,2,7
1997,9,10
1997,6,6
1997,7,7
1997,7,9
1997,10,9
1997,5,6
1997,4,8
1997,7,8
1997,5,7
1997,3,5
1997,10,10
1997,7,8
1997,8,9
1997,9,9
1997,9,10
1997,3,3
1997,4,9
1997,7,8
1997,9,9
1997,10,7
1997,6,9
1997,5,6
1997,7,8
1997,5,8
1997,6,6
1997,7,7
1997,5,5
1997,4,3
1997,7,9
1997,5,4
1997,5,8
1997,7,5
1997,3,6
1997,8,9
1997,3,3
1997,7,7
1997,8,8
1997,4,10
1997,5,4
1997,6,3
1997,9,8
1997,-1,10
1997,7,7
1997,8,8
1997,5,5
1997,8,7
1997,6,3
1997,6,8
1997,7,7
1997,7,8
1997,4,6
1997,8,8
1997,7,9
1997,7,9
1997,8,5
1997,5,8
1997,8,8
1997,3,8
1997,5,8
1997,8,8
1997,8,9
1997,9,7
1997,10,8
1997,5,8
1997,6,1
1997,3,7
1997,5,5
1997,10,8
1997,6,8
1997,6,8
1997,9,7
1997,8,8
1997,5,6
1997,10,10
1997,6,6
1997,7,8
1997,4,8
1997,5,10
1997,5,6
1997,6,8
1997,6,8
1997,8,8
1997,10,6
1997,8,6
1997,4,7
1997,6,9
1997,7,8
1997,8,8
1997,8,8
1997,5,8
1997,5,8
1997,7,7
1997,8,8
1997,10,6
1997,8,8
1997,1,8
1997,4,5
1997,8,6
1997,6,8
1997,6,8
1997,6,7
1997,6,8
1997,9,8
1997,2,6
1997,7,6
1997,3,5
1997,9,8
1997,10,8
1997,7,8
1997,7,8
1997,7,7
1997,4,6
1997,10,10
1997,3,5
1997,8,6
1997,8,5
1997,6,6
1997,6,7
1997,2,4
1997,8,8
1997,8,7
1997,7,7
1997,8,5
1997,5,7
1997,6,9
1997,8,8
1997,7,7
1997,5,7
1997,8,8
1997,8,1
1997,5,3
1997,9,9
1997,10,10
1997,5,5
1997,5,6
1997,6,7
1997,7,8
1997,8,8
1997,7,9
1997,1,1
1997,4,7
1997,1,2
1997,1,6
1997,8,8
1997,1,4
1997,8,10
1997,7,7
1997,8,6
1997,1,6
1997,3,5
1997,4,5
1997,8,8
1997,9,8
1997,8,8
1997,5,8
1997,10,5
1997,6,7
1997,9,10
1997,1,6
1997,7,5
1997,9,9
1997,8,8
1997,6,8
1997,10,8
1997,8,9
1997,5,4
1997,7,7
1997,6,4
1997,10,5
1997,6,6
1997,5,8
1997,5,5
1997,10,10
1997,10,10
1997,3,9
1997,7,4
1997,7,8
1997,7,8
1997,3,4
1997,10,8
1997,6,4
1997,1,5
1997,4,8
1997,8,8
1997,5,6
1997,9,9
1997,8,8
1997,2,8
1997,5,4
1997,8,6
1997,5,8
1997,2,9
1997,3,8
1997,6,3
1997,10,9
1997,10,10
1997,8,7
1997,6,7
1997,8,9
1997,8,8
1997,7,5
1997,8,9
1997,9,10
1997,5,6
1997,5,6
1997,5,3
1997,7,7
1997,3,8
1997,10,8
1997,5,7
1997,8,9
1997,7,7
1997,4,5
1997,8,5
1997,4,7
1997,6,6
1997,4,9
1997,7,8
1997,2,7
1997,8,8
1997,8,8
1997,6,8
1997,4,4
1997,5,6
1997,10,8
1997,6,9
1997,6,7
1997,9,8
1997,8,8
1997,5,5
1997,4,8
1997,10,8
1997,8,8
1997,6,9
1997,8,3
1997,8,7
1997,7,8
1997,4,8
1997,7,8
1997,7,7
1997,10,-1
1997,7,6
1997,1,5
1997,3,6
1997,9,8
1997,10,9
1997,8,8
1997,8,8
1997,4,5
1997,6,8
1997,7,8
1997,7,8
1997,8,9
1997,8,9
1997,8,10
1997,7,6
1997,5,8
1997,2,3
1997,3,8
1997,7,10
1997,7,9
1997,10,10
1997,10,10
1997,5,10
1997,10,8
1997,10,10
1997,4,8
1997,5,7
1997,10,4
1997,6,1
1997,6,4
1997,4,5
1997,8,8
1997,8,6
1997,10,10
1997,7,8
1997,2,5
1997,3,5
1997,5,6
1997,8,9
1997,7,8
1997,7,5
1997,8,8
1997,7,6
1997,10,7
1997,-1,10
1997,6,6
1997,8,6
1997,1,5
1997,6,7
1997,7,8
1997,5,7
1997,8,6
1997,10,10
1997,8,9
1997,9,7
1997,5,5
1997,10,10
1997,5,3
1997,8,7
1997,8,8
1997,4,8
1997,8,7
1997,8,9
1997,10,10
1997,6,10
1997,8,8
1997,8,8
1997,2,5
1997,6,5
1997,8,7
1997,8,10
1997,10,10
1997,5,4
1997,6,5
1997,8,6
1997,8,8
1997,4,7
1997,3,4
1997,7,8
1997,7,7
1997,8,8
1997,10,10
1997,8,7
1997,10,8
1997,8,10
1997,8,9
1997,9,8
1997,3,4
1997,7,7
1997,10,10
1997,8,9
1997,9,10
1997,5,7
1997,9,9
1997,9,9
1997,5,10
1997,6,6
1997,5,7
1997,8,8
1997,10,3
1997,5,4
1997,5,5
1997,7,8
1997,8,9
1997,10,2
1997,10,5
1997,6,7
1997,8,9
1997,4,7
1997,7,8
1997,8,9
1997,7,8
1997,3,3
1997,10,10
1997,10,8
1997,5,8
1997,10,8
1997,3,6
1997,8,5
1997,5,4
1997,3,6
1997,8,8
1997,5,8
1997,2,5
1997,5,7
1997,3,5
1997,7,8
1997,8,9
1997,8,7
1997,8,7
1997,10,8
1997,5,9
1997,10,8
1997,5,8
1997,5,5
1997,-1,7
1997,8,8
1997,8,7
1997,8,7
1997,5,7
1997,5,6
1997,7,8
1997,7,8
1997,10,10
1997,7,7
1997,5,8
1997,9,8
1997,8,8
1997,5,8
1997,10,8
1997,5,4
1997,9,10
1997,7,8
1997,5,5
1997,5,8
1997,1,7
1997,4,7
1997,7,7
1997,4,5
1997,7,5
1997,8,8
1997,7,8
1997,6,7
1997,10,10
1997,8,8
1997,5,10
1997,3,7
1997,4,5
1997,7,7
1997,7,9
1997,7,8
1997,5,8
1997,8,7
1997,8,9
1997,9,7
1997,5,3
1997,9,7
1997,6,6
1997,5,5
1997,8,7
1997,8,8
1997,3,8
1997,4,8
1997,10,10
1997,10,10
1997,1,7
1997,3,8
1997,5,8
1997,5,8
1997,2,4
1997,5,5
1997,6,6
1997,7,5
1997,10,6
1997,7,6
1997,5,9
1997,4,9
1997,5,5
1997,7,8
1997,9,8
1997,7,4
1997,8,7
1997,8,9
1997,8,10
1997,6,8
1997,10,10
1997,9,6
1997,7,8
1997,8,8
1997,5,8
1997,8,8
1997,1,3
1997,8,8
1997,6,5
1997,8,8
1997,6,8
1997,5,9
1997,7,8
1997,6,8
1997,8,7
1997,7,9
1997,8,9
1997,7,8
1997,7,4
1997,8,8
1997,8,8
1997,10,8
1997,10,10
1997,8,9
1997,5,5
1997,5,1
1997,5,8
1997,8,5
1997,7,10
1997,7,9
1997,6,4
1997,4,5
1997,6,4
1997,6,6
1997,4,9
1997,8,8
1997,5,9
1997,7,9
1997,8,6
1997,2,4
1997,5,8
1997,7,9
1997,6,5
1997,9,9
1997,3,3
1997,7,9
1997,5,6
1997,8,9
1997,3,8
1997,5,9
1997,7,7
1997,7,9
1997,3,9
1997,8,6
1997,4,4
1997,3,8
1997,5,4
1997,1,2
1997,5,8
1997,8,8
1997,7,7
1997,9,8
1997,5,7
1997,3,6
1997,7,9
1997,6,8
1997,6,8
1997,10,5
1997,7,8
1997,7,6
1997,10,10
1997,8,6
1997,8,9
1997,7,8
1997,10,10
1997,4,7
1997,7,7
1997,10,4
1997,8,9
1997,9,9
1997,6,6
1997,8,7
1997,3,4
1997,4,8
1997,3,7
1997,8,9
1997,7,8
1997,5,6
1997,7,7
1997,4,8
1997,8,7
1997,10,8
1997,6,8
1997,8,9
1997,9,9
1997,6,8
1997,7,8
1997,5,7
1997,6,5
1997,8,8
1997,2,3
1997,8,9
1997,6,6
1997,10,8
1997,7,7
1997,10,10
1997,7,8
1997,6,7
1997,5,7
1997,7,6
1997,6,3
1997,9,8
1997,10,10
1997,7,8
1997,7,7
1997,7,8
1997,8,8
1997,8,8
1997,3,7
1997,8,10
1997,2,8
1997,5,5
1997,6,3
1997,7,6
1997,9,5
1997,3,7
1997,7,8
1997,7,9
1997,1,2
1997,8,8
1997,9,9
1997,5,8
1997,6,7
1997,6,8
1997,1,4
1997,4,5
1997,6,6
1997,7,7
1997,6,6
1997,2,5
1997,1,6
1997,5,6
1997,6,6
1997,7,8
1997,7,8
1997,4,7
1997,5,8
1997,9,9
1997,7,6
1997,8,9
1997,8,6
1997,10,10
1997,6,5
1997,10,8
1997,7,7
1997,6,7
1997,10,10
1997,9,9
1997,5,8
1997,8,8
1997,7,10
1997,7,8
1997,7,7
1997,5,5
1997,7,9
1997,8,7
1997,3,3
1997,5,6
1997,5,8
1997,6,7
1997,8,8
1997,8,10
1997,6,6
1997,7,9
1997,8,7
1997,8,9
1997,6,8
1997,8,7
1997,5,6
1997,7,9
1997,6,6
1997,10,10
1997,7,6
1997,4,5
1997,3,6
1997,4,8
1997,8,9
1997,8,9
1997,5,5
1997,5,8
1997,10,8
1997,5,8
1997,10,9
1997,10,10
1997,7,6
1997,8,8
1997,10,8
1997,7,8
1997,7,9
1997,7,8
1997,6,6
1997,9,9
1997,5,5
1997,8,8
1997,8,9
1997,5,7
1997,9,9
1997,7,8
1997,6,8
1997,4,6
1997,8,8
1997,9,9
1997,5,7
1997,5,7
1997,8,7
1997,4,9
1997,2,8
1997,8,4
1997,7,6
1997,9,5
1997,5,5
1997,6,7
1997,1,8
1997,9,9
1997,5,4
1997,3,9
1997,9,3
1997,6,10
1997,10,6
1997,8,5
1997,9,9
1997,7,7
1997,8,8
1997,8,7
1997,8,8
1997,6,8
1997,1,8
1997,2,9
1997,5,7
1997,3,4
1997,7,7
1997,10,8
1997,8,9
1997,10,8
1997,6,5
1997,8,8
1997,7,6
1997,6,6
1997,7,9
1997,7,8
1997,9,8
1997,5,7
1997,7,8
1997,8,8
1997,5,4
1997,3,5
1997,7,4
1997,9,9
1997,7,8
1997,6,10
1997,7,9
1997,8,6
1997,8,10
1997,6,8
1997,8,8
1997,6,8
1997,10,9
1997,7,8
1997,5,3
1997,4,9
1997,8,8
1997,1,1
1997,10,10
1997,7,8
1997,8,7
1997,5,5
1997,9,10
1997,6,7
1997,4,7
1997,5,7
1997,5,4
1997,7,9
1997,6,7
1997,5,9
1997,3,3
1997,10,6
1997,7,7
1997,2,6
1997,8,9
1997,5,7
1997,7,7
1997,8,10
1997,7,7
1997,5,7
1997,4,7
1997,10,4
1997,8,7
1997,4,7
1997,8,8
1997,5,6
1997,7,7
1997,7,8
1997,7,9
1997,7,7
1997,6,8
1997,9,9
1997,5,9
1997,10,9
1997,10,10
1997,8,8
1997,8,9
1997,2,7
1997,6,8
1997,6,5
1997,10,10
1997,10,7
1997,6,6
1997,6,7
1997,7,8
1997,9,8
1997,5,10
1997,6,6
1997,9,9
1997,7,8
1997,5,5
1997,3,9
1997,7,8
1997,8,8
1997,5,2
1997,4,5
1997,5,6
1997,2,1
1997,4,7
1997,7,7
1997,2,5
1997,8,9
1997,4,4
1997,10,10
1997,9,7
1997,6,6
1997,8,7
1997,8,5
1997,10,8
1997,1,1
1997,10,10
1997,1,4
1997,5,8
1997,8,8
1997,7,9
1997,3,2
1997,5,8
1997,7,5
1997,9,7
1997,7,8
1997,6,9
1997,10,10
1997,8,8
1997,9,8
1997,10,8
1997,7,8
1997,7,8
1997,5,7
1997,4,6
1997,5,5
1997,4,7
1997,8,8
1997,7,7
1997,7,8
1997,7,9
1997,5,7
1997,7,9
1997,7,7
1997,7,6
1997,3,5
1997,3,4
1997,9,9
1997,8,6
1997,5,8
1997,8,8
1997,5,4
1997,3,5
1997,3,8
1997,10,10
1997,8,6
1997,5,5
1997,8,8
1997,7,8
1997,9,8
1997,5,9
1997,2,7
1997,6,8
1997,6,7
1997,5,5
1997,10,10
1997,6,7
1997,6,7
1997,4,6
1997,6,8
1997,8,8
1997,6,5
1997,8,3
1997,8,7
1997,5,5
1997,8,8
1997,8,7
1997,5,6
1997,1,6
1997,4,6
1997,1,5
1997,5,5
1997,5,3
1997,5,5
1997,6,8
1997,7,7
1997,10,10
1997,1,1
1997,7,8
1997,8,9
1997,7,8
1997,5,5
1997,2,3
1997,3,5
1997,6,6
1997,5,5
1997,5,8
1997,7,6
1997,1,1
1997,7,7
1997,8,9
1997,8,6
1997,8,8
1997,6,6
1997,7,9
1997,4,4
1997,5,7
1997,8,8
1997,6,7
1997,4,3
1997,5,6
1997,7,8
1997,5,7
1997,5,5
1997,5,5
1997,8,7
1997,8,8
1997,3,5
1997,5,5
1997,7,8
1997,6,7
1997,5,8
1997,5,5
1997,6,6
1997,8,8
1997,8,8
1997,5,7
1997,7,9
1997,5,5
1997,6,6
1997,4,10
1997,5,6
1997,1,5
1997,7,7
1997,7,7
1997,5,7
1997,7,7
1997,3,5
1997,5,5
1997,2,3
1997,6,4
1997,6,8
1997,7,5
1997,8,8
1997,6,7
1997,10,10
1997,2,4
1997,5,9
1997,5,5
1997,7,8
1997,7,8
1997,5,8
1997,7,6
1997,6,6
1997,5,8
1997,8,8
1997,6,6
1997,5,6
1997,10,8
1997,7,7
1997,5,7
1997,8,9
1997,2,4
1997,5,5
1997,8,8
1997,5,5
1997,10,10
1997,5,8
1997,6,5
1997,6,8
1997,10,10
1997,-1,9
1997,5,3
1997,5,6
1997,5,5
1997,5,5
1997,5,5
1997,3,7
1997,7,9
1997,5,8
1997,10,5
1997,1,3
1997,5,5
1997,5,7
1997,7,7
1997,4,7
1997,6,1
1997,4,7
1997,6,7
1997,4,4
1997,3,3
1997,10,4
1997,8,8
1997,6,6
1997,8,8
1997,6,8
1997,7,8
1997,8,8
1997,4,4
1997,8,10
1997,5,7
1997,7,8
1997,7,8
1997,6,7
1997,8,8
1997,10,10
1997,6,8
1997,7,9
1997,8,6
1997,5,5
1997,5,10
1997,6,8
1997,6,9
1997,7,8
1997,5,3
1997,1,1
1997,8,8
1997,8,8
1997,5,6
1997,5,8
1997,8,8
1997,5,3
1997,3,5
1997,5,7
1997,4,7
1997,7,7
1997,7,7
1997,5,6
1997,7,7
1997,7,6
1997,1,3
1997,8,5
1997,8,9
1997,8,7
1997,6,8
1997,5,3
1997,8,9
1997,4,7
1997,2,3
1997,7,8
1997,4,7
1997,8,9
1997,7,9
1997,4,6
1997,9,9
1997,5,8
1997,7,8
1997,7,7
1997,5,10
1997,7,7
1997,6,9
1997,6,8
1997,4,8
1997,8,7
1997,6,8
1997,9,8
1997,8,6
1997,5,8
1997,10,3
1997,6,7
1997,6,8
1997,7,7
1997,7,5
1997,10,10
1997,7,9
1997,7,8
1997,5,8
1997,5,8
1997,6,7
1997,5,5
1997,5,5
1997,8,6
1997,6,6
1997,6,6
1997,8,7
1997,7,8
1997,7,8
1997,4,7
1997,9,9
1997,8,8
1997,7,7
1997,8,8
1997,7,7
1997,3,5
1997,7,8
1997,5,4
1997,8,9
1997,10,7
1997,6,8
1997,8,8
1997,3,1
1997,1,10
1997,7,8
1997,4,7
1997,5,4
1997,7,9
1997,3,7
1997,10,10
1997,6,7
1997,4,8
1997,6,8
1997,4,4
1997,6,8
1997,3,7
1997,5,5
1997,6,8
1997,6,8
1997,10,9
1997,8,2
1997,9,9
1997,6,5
1997,8,8
1997,6,4
1997,9,8
1997,5,7
1997,7,8
1997,1,7
1997,7,7
1997,5,5
1997,6,6
1997,4,9
1997,6,6
1997,9,7
1997,8,8
1997,7,7
1997,7,8
1997,10,8
1997,6,8
1997,10,7
1997,1,5
1997,10,10
1997,7,8
1997,6,5
1997,5,8
1997,3,6
1997,8,6
1997,3,8
1997,4,8
1997,6,6
1997,3,1
1997,10,3
1997,7,5
1997,7,7
1997,1,3
1997,6,6
1997,1,7
1997,5,8
1997,5,5
1997,6,8
1997,8,8
1997,5,5
1997,7,7
1997,3,6
1997,8,9
1997,9,9
1997,6,8
1997,3,9
1997,6,8
1997,5,6
1997,2,4
1997,6,8
1997,6,8
1997,5,5
1997,8,10
1997,8,8
1997,4,4
1997,5,7
1997,3,5
1997,6,6
1997,8,8
1997,5,5
1997,1,4
1997,1,8
1997,3,5
1997,1,5
1997,6,6
1997,5,7
1997,6,8
1997,5,6
1997,4,6
1997,5,7
1997,5,6
1997,5,4
1997,6,6
1997,10,8
1997,5,5
1997,4,6
1997,-1,-1
1997,4,9
1997,7,6
1997,6,6
1997,5,8
1997,8,8
1997,8,7
1997,5,7
1997,1,4
1997,5,4
1997,6,7
1997,5,7
1997,3,7
1997,8,8
1997,6,7
1997,4,6
1997,4,8
1997,5,8
1997,5,8
1997,8,8
1997,5,5
1997,5,7
1997,10,10
1997,5,4
1997,10,9
1997,8,9
1997,4,7
1997,7,4
1997,6,6
1997,5,5
1997,7,8
1997,5,7
1997,7,6
1997,8,8
1997,7,8
1997,5,7
1997,9,9
1997,5,5
1997,6,7
1997,5,7
1997,5,5
1997,10,7
1997,10,10
1997,5,7
1997,5,9
1997,4,4
1997,7,7
1997,10,10
1997,8,8
1997,7,8
1997,5,6
1997,8,10
1997,6,7
1997,6,8
1997,7,9
1997,10,10
1997,6,8
1997,6,10
1997,7,9
1997,6,7
1997,10,8
1997,5,10
1997,3,5
1997,5,6
1997,7,7
1997,5,6
1997,5,7
1997,3,5
1997,4,4
1997,5,7
1997,4,5
1997,6,8
1997,9,9
1997,1,1
1997,6,8
1997,7,8
1997,1,6
1997,6,8
1997,9,8
1997,9,6
1997,8,8
1997,3,3
1997,8,10
1997,9,9
1997,4,7
1997,10,7
1997,5,8
1997,8,6
1997,3,3
1997,8,7
1997,8,8
1997,7,9
1997,5,4
1997,6,8
1997,3,3
1997,8,8
1997,3,7
1997,5,2
1997,4,4
1997,6,10
1997,7,8
1997,2,6
1997,5,5
1997,7,7
1997,7,7
1997,7,7
1997,6,8
1997,5,3
1997,9,10
1997,5,8
